state,period_id:id,ref,id,journal_id:id
draft,period_2002-2,,move_V01200220020016,journal_V01
draft,period_2002-2,,move_V01200220020017,journal_V01
draft,period_2002-2,,move_V01200220020018,journal_V01
draft,period_2002-2,,move_V01200220020020,journal_V01
draft,period_2002-2,,move_V01200220020021,journal_V01
draft,period_2002-2,,move_V01200220020022,journal_V01
draft,period_2002-2,,move_V01200220020023,journal_V01
draft,period_2002-2,,move_V01200220020024,journal_V01
draft,period_2002-3,,move_V01200220020019,journal_V01
draft,period_2002-3,,move_V01200220020025,journal_V01
draft,period_2002-3,,move_V01200220020026,journal_V01
draft,period_2002-3,,move_V01200220020027,journal_V01
draft,period_2002-3,,move_V01200220020028,journal_V01
draft,period_2002-3,,move_V01200220020029,journal_V01
draft,period_2003-4,,move_V0120032003007,journal_V01
draft,period_2003-4,,move_V0120032003008,journal_V01
draft,period_2003-4,,move_V0120032003009,journal_V01
draft,period_2003-5,,move_V0120032003010,journal_V01
draft,period_2003-5,,move_V0120032003011,journal_V01
draft,period_2003-5,,move_V0120032003012,journal_V01
draft,period_2003-6,,move_V0120032003013,journal_V01
draft,period_2003-6,,move_V0120032003014,journal_V01
draft,period_2003-7,,move_V0120032003015,journal_V01
draft,period_2003-7,,move_V0120032003016,journal_V01
draft,period_2003-8,,move_V0120032003017,journal_V01
draft,period_2003-8,,move_V0120032003018,journal_V01
draft,period_2003-10,,move_V0120032003019,journal_V01
draft,period_2003-11,,move_V0120032003020,journal_V01
draft,period_2003-11,,move_V0120032003021,journal_V01
draft,period_2003-12,,move_V0120032003022,journal_V01
draft,period_2004-1,,move_V0120042004001,journal_V01
draft,period_2004-1,,move_V0120042004002,journal_V01
draft,period_2004-1,,move_V0120042004003,journal_V01
draft,period_2004-1,,move_V0120042004004,journal_V01
draft,period_2004-2,,move_V0120042004005,journal_V01
draft,period_2004-2,,move_V0120042004006,journal_V01
draft,period_2004-2,,move_V0120042004007,journal_V01
draft,period_2004-3,,move_V0120042004008,journal_V01
draft,period_2004-3,,move_V0120042004009,journal_V01
draft,period_2004-3,,move_V0120042004010,journal_V01
draft,period_2004-3,,move_V0120042004011,journal_V01
draft,period_2004-3,,move_V0120042004012,journal_V01
draft,period_2001-1,,move_V02200120010001,journal_V02
draft,period_2001-1,,move_V02200120010002,journal_V02
draft,period_2001-1,,move_V02200120010003,journal_V02
draft,period_2001-1,,move_V02200120010004,journal_V02
draft,period_2001-1,,move_V02200120010005,journal_V02
draft,period_2001-1,,move_V02200120010006,journal_V02
draft,period_2001-2,,move_V02200120010007,journal_V02
draft,period_2001-2,,move_V02200120010008,journal_V02
draft,period_2001-2,,move_V02200120010009,journal_V02
draft,period_2001-2,,move_V02200120010010,journal_V02
draft,period_2001-2,,move_V02200120010011,journal_V02
draft,period_2001-2,,move_V02200120010012,journal_V02
draft,period_2001-2,,move_V02200120010013,journal_V02
draft,period_2001-2,,move_V02200120010014,journal_V02
draft,period_2001-2,,move_V02200120010015,journal_V02
draft,period_2001-2,,move_V02200120010016,journal_V02
draft,period_2001-2,,move_V02200120010017,journal_V02
draft,period_2001-2,,move_V02200120010018,journal_V02
draft,period_2001-2,,move_V02200120010019,journal_V02
draft,period_2001-2,,move_V02200120010020,journal_V02
draft,period_2001-2,,move_V02200120010021,journal_V02
draft,period_2001-2,,move_V02200120010022,journal_V02
draft,period_2001-2,,move_V02200120010023,journal_V02
draft,period_2001-2,,move_V02200120010024,journal_V02
draft,period_2001-2,,move_V02200120010025,journal_V02
draft,period_2001-2,,move_V02200120010026,journal_V02
draft,period_2001-2,,move_V02200120010027,journal_V02
draft,period_2001-2,,move_V02200120010028,journal_V02
draft,period_2001-2,,move_V02200120010029,journal_V02
draft,period_2001-3,,move_V02200120010030,journal_V02
draft,period_2001-3,,move_V02200120010031,journal_V02
draft,period_2001-3,,move_V02200120010032,journal_V02
draft,period_2001-4,,move_V02200120010033,journal_V02
draft,period_2001-4,,move_V02200120010034,journal_V02
draft,period_2001-5,,move_V02200120010035,journal_V02
draft,period_2001-5,,move_V02200120010036,journal_V02
draft,period_2001-5,,move_V02200120010037,journal_V02
draft,period_2001-5,,move_V02200120010038,journal_V02
draft,period_2001-1,,move_V99200120010001,journal_V99
draft,period_2001-1,,move_V99200120010002,journal_V99
draft,period_2001-1,,move_V99200120010003,journal_V99
draft,period_2003-12,,move_V99200320030001,journal_V99
draft,period_2002-1,,move_DI1200220020006,journal_DI1
draft,period_2001-1,,move_DI2200120010003,journal_DI2
draft,period_2001-1,,move_DI2200120010003,journal_DI2
